22:23:59.340 [GameThread] INFO  io.alunity.Server - Server state: PUBLIC
22:23:59.769 [GameThread] INFO  o.f.c.i.license.VersionPrinter - Flyway Community Edition 5.2.4 by Boxfuse
22:24:00.064 [GameThread] INFO  o.f.c.i.database.DatabaseFactory - Database: jdbc:mysql://92.204.221.12/game_alunity (MySQL 5.6)
22:24:00.209 [GameThread] INFO  o.f.core.internal.command.DbValidate - Successfully validated 15 migrations (execution time 00:00.025s)
22:24:00.224 [GameThread] INFO  o.f.core.internal.command.DbMigrate - Current version of schema `game_alunity`: 15
22:24:00.226 [GameThread] INFO  o.f.core.internal.command.DbMigrate - Schema `game_alunity` is up to date. No migration necessary.
22:24:05.888 [GameThread] INFO  i.a.m.c.ControllerRepository - Loaded 7 controllers.
22:24:05.923 [GameThread] INFO  i.a.m.e.p.m.g.GroupIronmanRepository - Loaded 0 group ironman groups.
22:24:06.514 [GameThread] INFO  i.a.m.entity.player.save.PlayerSave - Loaded 18 Player Save Entries.
22:24:07.286 [GameThread] INFO  io.alunity.model.definitions.ShopDef - Loaded 51 shops.
22:24:07.441 [GameThread] INFO  io.alunity.model.definitions.NpcDef - Loaded 9474 npc definitions.
22:24:21.993 [player-save-backup-0] INFO  i.a.m.entity.player.save.PlayerSave - Saved 0 online users.
22:24:24.068 [io-worker-0] INFO  net.dv8tion.jda.api.JDA - Login Successful!
22:24:25.460 [JDA MainWS-ReadThread] INFO  n.d.j.i.requests.WebSocketClient - Connected to WebSocket
22:24:25.707 [JDA MainWS-ReadThread] INFO  net.dv8tion.jda.api.JDA - Finished Loading!
22:24:25.716 [io-worker-0] ERROR io.alunity.util.discord.Discord - No discord channel found with name: server-sync
22:24:52.511 [GameThread] INFO  io.alunity.GameThread - Status [runtime=0m 30s, connections=0, players=0, uniques=0, npcs=3295, reserved-heights=0, average-cycle-time=12ms, handshakes-per-tick=0, memory=481.4 MB/627 MB]
22:24:55.210 [io-worker-0] ERROR io.alunity.util.discord.Discord - No discord channel found with name: server-sync
22:24:55.457 [pool-9-thread-2] INFO  i.alunity.net.login.RS2LoginProtocol - Player login queued [name=scott, mac=, ip=127.0.0.1:61823, time=435ms]
22:25:22.598 [GameThread] INFO  io.alunity.GameThread - Status [runtime=1m, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=12ms, handshakes-per-tick=0, memory=481.1 MB/627 MB]
22:25:52.682 [GameThread] INFO  io.alunity.GameThread - Status [runtime=1m 30s, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=11ms, handshakes-per-tick=0, memory=441.4 MB/627 MB]
22:26:22.764 [GameThread] INFO  io.alunity.GameThread - Status [runtime=2m, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=10ms, handshakes-per-tick=0, memory=399.3 MB/627 MB]
22:26:52.839 [GameThread] INFO  io.alunity.GameThread - Status [runtime=2m 30s, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=10ms, handshakes-per-tick=0, memory=352.8 MB/627 MB]
22:27:23.004 [GameThread] INFO  io.alunity.GameThread - Status [runtime=3m, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=9ms, handshakes-per-tick=0, memory=541 MB/627 MB]
22:27:53.359 [GameThread] INFO  io.alunity.GameThread - Status [runtime=3m 30s, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=8ms, handshakes-per-tick=0, memory=486.7 MB/627 MB]
22:28:23.700 [GameThread] INFO  io.alunity.GameThread - Status [runtime=4m, connections=1, players=1, uniques=1, npcs=3295, reserved-heights=0, average-cycle-time=7ms, handshakes-per-tick=0, memory=427 MB/627 MB]
